iter,zeta,f,pen,residual,grad_norm,z,alm
1,10.0,-0.28274139885556954,0.04678703712671362,0.21630311400142538,0.0,0.28274139885556954,0.18512897241156667
2,25.0,-0.1444764997776899,0.010457589103232634,0.1022623542816839,0.2690475115088956,0.1444764997776899,0.3263474739708019
3,10.0,-0.015108178839204164,0.004193491845282288,0.06475717601380011,0.11557254113199998,0.015108178839204164,-0.18461977656494638
4,4.0,-0.0016049512690730035,0.010314478655029694,0.10156022181459479,0.04233588383412357,0.0016049512690730035,-0.21918334283459148
5,10.0,-0.0,0.004780676720323673,0.0691424379113412,0.042619267933747595,0.0,-0.15081862485983372
6,25.0,-0.0031875778645024076,0.0019073744362386696,0.04367349809940428,0.07479028266079436,0.0031875778645024076,-0.07233159634137833
7,10.0,-0.0029118692357457255,0.003632828686727979,0.06027295153489647,0.041159824852159646,0.0029118692357457255,-0.08708153228324893
8,25.0,-0.013303247435369916,0.0012502184075751555,0.035358427673967,0.06112527846944835,0.013303247435369916,-0.04411168741334645
9,10.0,-0.020766530360063557,0.0018438552748929215,0.04294013594404333,0.033969932315611545,0.020766530360063557,-0.05052657439066519
10,25.0,-0.02732593927421576,0.0004895091509958951,0.022124853694338753,0.03271631898875458,0.02732593927421576,-0.0284972528441899
11,10.0,-0.036340242518363444,0.0012297324917597261,0.03506754185510764,0.028538440766800465,0.036340242518363444,-0.04583908992446377
12,25.0,-0.03956260399865041,0.0003853630275673915,0.019630665489671805,0.02444475214770428,0.03956260399865041,-0.029748403333372937
13,62.5,-0.038358037437529,0.000278606850480266,0.01669152031662383,0.03964301413507732,0.038358037437529,-0.02225611836203413
14,25.0,-0.03934959993933224,0.0006071322845835787,0.024640054476067597,0.05447865578883735,0.03934959993933224,-0.03892947945601247
15,10.0,-0.03891188713884154,0.001232422585924819,0.03510587680039937,0.031206697075701884,0.03891188713884154,-0.038770009512190326
16,25.0,-0.038547783434692846,0.0003127236444316538,0.017683994018084653,0.022932738704144855,0.038547783434692846,-0.023857912974501495
17,10.0,-0.03639916728347825,0.00173668352771484,0.04167353509980693,0.04889326780098579,0.03639916728347825,-0.06366453380037206
